institute_name,program_name,tests_accepted,test_cutoff,city_name,program_duration,country_name,program_duration_text,final_placements_domestic_salary_avg,specialization_name,state_name,tution_fees_local_country_student 
adarsh institute of management and information technology,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, ATMA, PGCET, IIFT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | 17:NA | 20:NA | ,bangalore,2,India,2 Years,450000,"Finance, Marketing, Information Technology, Human Resources, Hospitality \/ Tourism, International Business, Retail Management",karnataka,500000
ap goyal shimla university,master of business administration,"CAT, XAT, MAT, GMAT, Others, ATMA",1:NA | 2:NA | 4:NA | 5:NA | 10:NA | 11:NA | ,shimla,2,India,2 Years,450000,"Finance, Marketing, Human Resources, International Business",himachal pradesh,240000
administrative staff college of india,post graduate diploma in hospital management,"MAT, CMAT, CAT, GMAT, XAT, ATMA",4:NA|3:NA|1:NA|5:NA|2:NA|11:NA,hyderabad,2,India,2 Years,450000,Healthcare \/ Hospital \/ Pharma,andhra pradesh,500000
jaipuria institute of management,post graduate diploma in management,"CAT, MAT, XAT, CMAT, ATMA",1:NA|4:NA|2:NA|3:NA|11:NA,jaipur,2,India,2 Years,450000,"Finance, Marketing, Information Technology, Human Resources, International Business",rajasthan,745000
maharishi arvind institute of science management,master of business administration,"CAT, MAT, ATMA",1:NA | 4:NA | 11:NA | ,jaipur,2,India,2 Years,450000,"Finance, Marketing, Human Resources",rajasthan,320000
united world school of business,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,ahmedabad,2,India,2 Years,450000,Finance,gujarat,620000
nimt institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,jaipur,2,India,2 Years,450000,"Finance, Operations \/ SCM \/ Production, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business, Retail Management, Infrastructure \/ Real Estate",rajasthan,300000
the icfai university,master of business administration,"CAT, CMAT",1:NA | 3:NA | ,baddi,2,India,2 Years,450000,"Finance, Marketing, Human Resources",himachal pradesh,160000
bml munjal university,master of business administration,"CAT, XAT, MAT, GMAT, NMAT",1:NA | 2:NA | 4:NA | 5:NA | 8:NA | ,gurgaon,2,India,2 Years,450000,Finance,haryana,1350000
quantum school of business,master of business administration,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,roorkee,2,India,2 Years,450000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business, E-Commerce",uttarakhand,375000
neelkanth institute of technology,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,meerut,2,India,2 Years,450000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,155000
accurate institute of advanced management,master of business administration,"UPSEE, CAT, XAT, GMAT, CMAT, ATMA",15:NA|1:NA|2:NA|5:NA|3:NA|11:NA,,2,India,2 Years,450000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,246000
jaipuria institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,,2,India,2 Years,450000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Strategy, International Business, Retail Management",uttar pradesh,965000
,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, ATMA, IIFT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | 20:NA | ,bangalore,2,India,2 Years,450000,"Finance, Marketing, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business, Media & Communication, Entrepreneurship & Family Business",karnataka,584000
deogiri institute of engineering and management studies,master of business administration,"CAT, MH-CET",1:NA | 7:NA | ,aurangabad,2,India,2 Years,450000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",maharashtra,147000
cmr centre for business studies,master of business administration,"CAT, XAT, MAT, Others, ATMA, JMET",1:NA | 2:NA | 4:NA | 10:NA | 11:NA | 18:NA | ,bangalore,2,India,2 Years,450000,"Finance, Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma, Entrepreneurship & Family Business",karnataka,550000
mvj college of engineering,master of business administration,"CAT, MAT, KMAT, PGCET",1:NA | 4:NA | 14:NA | 17:NA | ,bangalore,2,India,2 Years,450000,"Finance, Marketing, Human Resources",karnataka,300000
rustomjee business school,master in management studies,"CAT, CMAT, MH-CET, ATMA",1:NA | 3:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,450000,"Finance, Marketing, Information Technology, Human Resources",maharashtra,367000
mitcon institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,450000,Healthcare \/ Hospital \/ Pharma,maharashtra,525000
harlal institute of management and technology,master in management studies,"CAT, XAT, MAT, ATMA",1:NA | 2:NA | 4:NA | 11:NA | ,,2,India,2 Years,450000,"Finance, Marketing, Human Resources, Digital Media",uttar pradesh,225000
jagan institute of management studies,post graguate diploma in management - retail management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:60 | 2:45 | 3:50 | 4:450 | 5:NA  | 11:45 | ,new delhi,2,India,2 Years,443000,"Finance, Marketing, Retail Management, E-Commerce, Entrepreneurship & Family Business",delhi,715000
dayananda sagar academy of technology and management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,bangalore,2,India,2 Years,440000,"Finance, Marketing, Human Resources, General Management, Sustainability \/ Environment",karnataka,550000
eastern institute for integrated learning in management,master of business administration,"CAT, MAT, ATMA, Others, Others",1:NA|4:NA|11:NA|10:NA|10:NA,kolkata,2,India,2 Years,425000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business, Retail Management",west bengal,445000
ramachandran international institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA|2:NA|3:NA|4:NA|7:NA|11:NA,pune,2,India,2 Years,425000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business, Digital Media",maharashtra,425000
suryadatta institute of business management and technology,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,420000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business, Retail Management, Media & Communication, Digital Media, Entrepreneurship & Family Business",maharashtra,500000
swami rama himalayan university,master of business administration,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,dehradun,2,India,2 Years,420000,"Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma, International Business",uttarakhand,240000
birla institute of technology,master of business administration,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,ranchi,2,India,2 Years,418000,"Finance, Marketing, Human Resources",jharkhand,474000
,master in management studies,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,416000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,300000
motilal nehru national institute of technology,master of business administration,CAT,1:NA | ,allahabad,2,India,2 Years,414000,"Finance, Marketing, Human Resources, International Business",uttar pradesh,112000
institute of public enterprise,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:90 | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,hyderabad,2,India,2 Years,412000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",Telangana,815000
institute of media management and technology,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,dehradun,2,India,2 Years,410000,"Finance, Marketing, Human Resources, International Business",uttarakhand,180000
r. v. northland instiute of management,master of business administration,"CAT, XAT, CMAT, MAT, UPSEE",1:NA | 2:NA | 3:NA | 4:NA | 15:NA | ,,2,India,2 Years,410000,"Finance, Marketing, Human Resources",uttar pradesh,122000
vignana jyothi institute of management,post graduate diploma in business management,"CAT, MAT, XAT, ATMA, CMAT, GMAT",1:50|4:NA|2:NA|5:NA|3:NA|8:NA,hyderabad,2,India,2 Years,400000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management, Business Analytics",Telangana,700000
thakur institute of management studies and research,master in management studies,"CAT, XAT, CMAT, MAT, MH-CET, ATMA, JMET",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | 18:NA | ,mumbai,2,India,2 Years,400000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management",maharashtra,515000
durgadevi saraf institute of management studies,master in management studies,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,400000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,430000
bengal institute of business studies,post graduate program in business management,"CAT, XAT, MAT",1:NA|2:NA|4:NA,kolkata,2,India,2 Years,400000,"Marketing, Human Resources",west bengal,392000
regional college of management,post graduate diploma in management,"ATMA, CAT, CMAT, MAT, XAT, Others",11:NA|1:NA|3:NA|4:NA|2:NA|10:NA,bhubaneswar,2,India,2 Years,400000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business, Retail Management",orissa,320000
college of agri business management,master of business administration,"CAT, CMAT",1:NA | 3:NA | ,pant nagar,2,India,2 Years,400000,"Healthcare \/ Hospital \/ Pharma, Agri \/ Food \/ Rural Business, Retail Management",uttarakhand,500000
shri ram murti smarak international business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, SNAP, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 5:NA  | 9:NA  | 11:NA  | ,lucknow,2,India,2 Years,400000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,488000
mangalmay institute of management and technology,master of business administration,"CAT, CMAT, MAT, UPSEE",1:NA | 3:NA | 4:NA | 15:NA | ,,2,India,2 Years,400000,"Finance, Marketing, Human Resources",uttar pradesh,258000
invertis institute of management studies,master of business administration,"CAT, XAT, MAT, ATMA",1:NA | 2:NA | 4:NA | 11:NA | ,bareilly,2,India,2 Years,400000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Retail Management, Entrepreneurship & Family Business",uttar pradesh,270000
itm business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 10:NA | 11:NA | ,bangalore,2,India,2 Years,400000,"Finance, Marketing, Human Resources, Digital Media",karnataka,720000
international management centre,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,new delhi,2,India,2 Years,400000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business, Retail Management",delhi,300000
center for management technology,post graduate diploma in management,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,,2,India,2 Years,400000,"Finance, Marketing, Information Technology, Human Resources",uttar pradesh,245000
,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,meerut,2,India,2 Years,400000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,143000
inmantec business school,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,ghaziabad,2,India,2 Years,400000,"Finance, Marketing, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business",uttar pradesh,320000
institute of technology and science,master of business administration,"CAT, XAT, CMAT, ATMA, UPSEE, JMET",1:NA  | 2:NA  | 3:NA  | 11:NA  | 15:NA  | 18:NA  | ,ghaziabad,2,India,2 Years,400000,"Marketing, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business",uttar pradesh,325000
xavier institute of social service xiss,post graduate diploma in rural management,"CAT, XAT, CMAT",1:NA | 2:NA | 3:NA | ,ranchi,2,India,2 Years,400000,Agri \/ Food \/ Rural Business,jharkhand,750000
xavier institute of social service xiss,post graduate diploma in information technology management,"CAT, XAT, CMAT",1:NA | 2:NA | 3:NA | ,ranchi,2,India,2 Years,400000,Information Technology,jharkhand,750000
community institute of management studies,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, ATMA, KMAT, IIFT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | 14:NA | 20:NA | ,bangalore,2,India,2 Years,400000,"Finance, Marketing, Human Resources",karnataka,420000
dayananda sagar business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,bangalore,2,India,2 Years,400000,"Finance, Marketing, Human Resources",karnataka,240000
st.george college of management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,bangalore,2,India,2 Years,400000,"Finance, Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma, Entrepreneurship & Family Business",karnataka,325000
bhavans royal institute of management,master of business administration,"CAT, CMAT, KMAT",1:NA|3:NA|14:NA,cochin,2,India,2 Years,400000,"Finance, Marketing, Human Resources",kerala,320000
jodhpur national university,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,jodhpur,2,India,2 Years,400000,"Finance, Marketing, Human Resources",rajasthan,172000
monti international institute of management studies,master of business administration,"CAT, CMAT, MAT, KMAT",1:NA | 3:NA | 4:NA | 14:NA | ,malappuram,2,India,2 Years,400000,"Finance, Marketing, Human Resources",kerala,290000
maratha mandir's babasaheb gawde institute of management studies,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, Others, ATMA, JMET",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 10:NA | 11:NA | 18:NA | ,mumbai,2,India,2 Years,400000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",maharashtra,262000
gnvs institute of management,post graduate diploma in research and business analytics,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,mumbai,2,India,2 Years,400000,"Finance, Marketing, Human Resources, Business Analytics",maharashtra,600000
mitcon institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,400000,"Finance, Marketing, Human Resources",maharashtra,525000
mitcon institute of management,post graduate diploma in agri business management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,400000,Agri \/ Food \/ Rural Business,maharashtra,475000
dr. v. n. bedekar institute of management studies,master in management studies,"CAT, XAT, CMAT, MAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 10:NA | 11:NA | ,thane,2,India,2 Years,400000,"Finance, Marketing, Human Resources",maharashtra,290000
