institute_name,program_name,tests_accepted,test_cutoff,city_name,program_duration,country_name,program_duration_text,final_placements_domestic_salary_avg,specialization_name,state_name,tution_fees_local_country_student
k j somaiya institute of management,master of business administration,"CAT, XAT, CMAT, GMAT, NMAT",,mumbai,2,India,2 Years,1008000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Data Sciences",maharashtra,1629279
k j somaiya institute of management,master of business administration (international business),"CAT, XAT, CMAT, GMAT, NMAT",1:83     | 2:73     | 3:98     | 5:500     | ,mumbai,2,India,2 Years,1008000,International Business,maharashtra,1629279
k j somaiya institute of management,master of business administration (retail management),"CAT, XAT, CMAT, GMAT, NMAT",1:83    | 2:73    | 3:98    | 5:500    | ,mumbai,2,India,2 Years,1008000,Retail Management,maharashtra,1629279
k j somaiya institute of management,master of business administration (financial services),"CAT, XAT, CMAT, GMAT, NMAT",1:83    | 2:73    | 3:98    | 5:500    | ,mumbai,2,India,2 Years,1008000,Financial Services ,maharashtra,1629279
k j somaiya institute of management,master of business administration (integrated marketing communications),"CAT, XAT, CMAT, GMAT, NMAT",1:83   | 2:73   | 3:98   | 5:500   | ,mumbai,2,India,2 Years,1008000,Integrated Marketing Communication,maharashtra,1629279
t. a. pai management institute,post graduate diploma in healthcare and hospital management,"CAT, XAT, GMAT",1:NA|2:NA|5:NA,manipal,2,India,2 Years,1006000,Healthcare \/ Hospital \/ Pharma,karnataka,950000
t. a. pai management institute,post graduate diploma in banking & finance management,"CAT, XAT, GMAT",1:NA|2:NA|5:NA,manipal,2,India,2 Years,1006000,Finance,karnataka,950000
t. a. pai management institute,post graduate diploma in human resource management,"CAT, XAT, GMAT",1:NA|2:NA|5:NA,manipal,2,India,2 Years,1006000,Human Resources,karnataka,950000
woxsen school of business,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, GRE, NMAT",1:70% | 2:70% | 3:80% | 4:80% | 5:570 | 6:286 | 8:160 | ,hyderabad,2,India,2 Years,1000000,"Finance, Marketing, Operations \/ SCM \/ Production, Business Analytics",Telangana,1680000
new delhi institute of management,post graduate diploma in management,"CAT, XAT, CMAT, GMAT, ATMA",1:NA   | 2:NA   | 3:NA   | 5:NA   | 11:NA   | ,new delhi,2,India,2 Years,990000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business, Media & Communication, Digital Media",delhi,930000
praxis business school,post graduate program in business administration,"CAT, XAT, CMAT, MAT, GMAT, GRE, Others",1:NA   | 2:NA   | 3:NA   | 4:NA   | 5:NA   | 6:NA   | 10:NA   | ,bangalore,1,India,1 Year,974000,Business Analytics,karnataka,575000
loyola institute of business administration,post graduate diploma in management,"CAT, XAT",1:80      | 2:NA      | ,chennai,2,India,2 Years,950000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management, Business Analytics, International Business",tamil nadu,940000
national institute of bank management,post graduate diploma in management,"CAT, CMAT, MAT",1:75 % | 3:75% | 4:89 | ,pune,2,India,2 Years,944000,"Finance, Marketing, Information Technology, Human Resources, General Management, Business Analytics",maharashtra,750000
school of inspired leadership,post graduate program in business leadership (pgp-bl),"CAT, XAT, CMAT, MAT, GMAT",1:NA   | 2:NA   | 3:NA   | 4:NA   | 5:NA   | ,gurgaon,1,India,1 Year,937000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",haryana,1473000
"ifmr graduate school of business (gsb), krea university",master of business administration,"CAT, XAT, CMAT, GMAT, GRE, NMAT",1:75%       | 2:75%       | 3:85%       | 5:85%       | 6:85%       | 8:80%    | ,Sricity,2,India,2 Years,937000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Data Sciences, Economics, Finance Accounting and Quantitative Finance, Strategic Management",andhra pradesh,1386000
,master of business administration,CAT,1:86.5      | ,trichy,2,India,2 Years,930000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics, Entrepreneurship & Family Business",tamil nadu,1450000
lal bahadur shastri institute of management,post graduate diploma in management,CAT,1:85     | ,new delhi,2,India,2 Years,920000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management",delhi,1209000
prin l.n. welingkar institute of management development and research,post graduate diploma in management,"CAT, XAT, CMAT, MH-CET, ATMA",1:75 | 2:75 | 3:85   | 7:85   | 11:85   | ,mumbai,2,India,2 Years,919000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business",maharashtra,1100000
department of management,master of business administration,"CAT, XAT, GMAT",1:70      | 5:NA      | ,Pilani,2,India,2 Years,918000,"Finance, Marketing, Information Technology, Human Resources",rajasthan,1087000
great lakes institute of management,post graduate diploma in management,"CAT, XAT, CMAT, GMAT",1:NA     | 2:NA     | 3:NA     | 5:NA     | ,gurgaon,2,India,2 Years,910000,"Finance, Marketing, Operations \/ SCM \/ Production, General Management, Others",haryana,1139000
great lakes institute of management,post graduate diploma in management,"CAT, XAT, CMAT, GMAT",1:NA     | 2:NA     | 3:NA     | 5:NA     | ,gurgaon,2,India,2 Years,910000,"Finance, Marketing, Operations \/ SCM \/ Production, General Management, Business Analytics, Others",haryana,1139000
prin l.n. welingkar institute of management development and research,post graduate diploma in e-business management,"CAT, XAT, CMAT, GMAT, MH-CET, ATMA",1:85 | 2:85 | 3:85 | 5:85 | 7:85 | 11:85  | ,mumbai,2,India,2 Years,906000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,1100000
management development institute,post graduate program in management,CAT,1:NA   | ,,2,India,2 Years,903000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",west bengal,1150000
prin l.n. welingkar institute of management development and research,post graduate diploma in management,"CAT, XAT, CMAT, GMAT, MH-CET, ATMA",1:85    | 2:85    | 3:85    | 5:85    | 7:85    | 11:85    | ,bangalore,2,India,2 Years,903000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",karnataka,1100000
praxis business school,post graduate program in data science,"CAT, XAT, GMAT, GRE, Others",1:85 | 2:85 | 5:650 | 6:320 | 10:NA  | ,kolkata,1,India,1 Year,896000,Business Analytics,west bengal,595000
prin l.n. welingkar institute of management development and research,post graduate diploma in business design management,"CAT, XAT, CMAT, GMAT, MH-CET, ATMA",1:85 | 2:85 | 3:85 | 5:85 | 7:85 | 11:85 | ,mumbai,2,India,2 Years,869000,Others,maharashtra,1100000
itm business school,post graduate diploma in international business,"CAT, XAT, CMAT, MAT, GMAT, NMAT, Others, ATMA",1:NA     | 2:NA     | 3:NA     | 4:NA     | 5:NA     | 8:NA     | 11:NA     | ,navi mumbai,2,India,2 Years,850000,"Finance, Marketing, Information Technology",maharashtra,930000
thiagarajar school of management,master of business administration,"CAT, XAT, CMAT, MAT, NMAT",1:NA | 2:NA | 3:NA | 4:NA | 8:NA | ,madurai,2,India,2 Years,850000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management, Business Analytics",tamil nadu,817000
prin l.n. welingkar institute of management development and research,post graduate diploma in e-business management,"CAT, XAT, CMAT, GMAT, MH-CET, ATMA",1:85 | 2:85  | 3:85 | 5:85 | 7:85 | 11:85 | ,bangalore,2,India,2 Years,848000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Business Analytics",karnataka,1100000
national insurance academy,post graduate diploma in management,"CAT, CMAT",1:NA | 3:NA | ,pune,2,India,2 Years,823000,"Finance, Marketing, Information Technology, Human Resources",maharashtra,1125000
institute of management nirma university,master of business administration,"CAT, GMAT",1:80     | 5:NA     | ,ahmedabad,2,India,2 Years,821000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Strategy, International Business",gujarat,952000
birla institute of management technology,post graduate diploma in management,"CAT, XAT, CMAT, GMAT",1:70     | 2:70 | 3:95 | 5:70 | ,,2,India,2 Years,814000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",uttar pradesh,1200000
bml munjal university,master of business administration,"CAT, XAT, MAT, GMAT, NMAT",1:NA | 2:NA | 4:NA | 5:NA | 8:NA | ,gurgaon,2,India,2 Years,800000,Business Analytics,haryana,1350000
birla institute of management technology,post graduate diploma in international business,"CAT, XAT, CMAT, GMAT",1:65 | 2:65 | 3:90 | 5:65 | ,,2,India,2 Years,787000,"Finance, Marketing, Operations \/ SCM \/ Production, International Business",uttar pradesh,1150000
national institute of agricultural extension management,post graduate diploma in agri business management,CAT,1:30     | ,hyderabad,2,India,2 Years,780000,Agri \/ Food \/ Rural Business,Telangana,825000
alliance school of business alliance university,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, NMAT, ATMA",1:NA    | 2:NA    | 3:NA    | 4:NA    | 5:NA    | 8:NA    | 11:NA    | ,bangalore,2,India,2 Years,780000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Digital Media, E-Commerce",karnataka,1350000
school of inspired leadership,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT",1:NA   | 2:NA   | 5:NA   | ,gurgaon,2,India,2 Years,780000,"Finance, Marketing, Human Resources, Business Analytics",haryana,1400000
birla institute of management technology,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT",1:60 | 2:60 | 3:70 | 4:70 | 5:60 | ,,2,India,2 Years,773000,Retail Management,uttar pradesh,900000
birla institute of management technology,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT",1:60 | 2:60 | 3:70 | 4:70 | 5:60 | ,,2,India,2 Years,767000,Insurance Business Management,uttar pradesh,900000
institute of management technology,post graduate diploma in management,"CAT, XAT, CMAT, GMAT",1:80   | 2:80   | 3:NA   | 5:NA   | ,nagpur,2,India,2 Years,764000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Business Analytics",maharashtra,1400000
international school of business and media,post graduate diploma in management,"CAT, XAT",1:70% | 2:60% | ,pune,2,India,2 Years,762000,"Finance, Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma, Media & Communication",maharashtra,1020000
ifim business school,post graduate diploma in management,"CAT, XAT, GMAT",1:NA  | 2:NA  | 5:NA  | ,bangalore,2,India,2 Years,750000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",karnataka,915000
indian institute of forest management,post graduate diploma in forestry management,"CAT, XAT",1:78.32   | 2:NA   | ,bhopal,2,India,2 Years,750000,Forest Management,madhya pradesh,624000
xavier institute of social service xiss,post graduate diploma in human resource management,"CAT, XAT, CMAT",1:NA  | 2:65  | 3:NA  | ,ranchi,2,India,2 Years,750000,Human Resources,jharkhand,965000
jaipur national university,master of business administration,"CAT, XAT, CMAT, MAT, Others",1:NA | 2:NA | 3:NA | 4:NA | 10:NA | ,jaipur,2,India,2 Years,750000,"Finance, Marketing, Human Resources, Agri \/ Food \/ Rural Business, Retail Management",rajasthan,340000
arya college of engineering and information technology,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,jaipur,2,India,2 Years,750000,"Finance, Marketing, Information Technology, Human Resources",rajasthan,242000
balaji institute of management and human resource development,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | ,pune,2,India,2 Years,750000,"Finance, Marketing, Operations \/ SCM \/ Production",maharashtra,660000
vivekananda global university,master of business administration,"CAT, XAT, MAT",1:NA | 2:NA | 4:NA | ,jaipur,2,India,2 Years,740000,"Finance, Marketing, Human Resources, Agri \/ Food \/ Rural Business",rajasthan,130000
icfai business school,master of business administration,"CAT, GMAT, NMAT, IBSAT",1:60      | 5:550      | 8:NA      | 12:90      | ,hyderabad,2,India,2 Years,732000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",Telangana,1404000
xavier school of rural management,master of business administration,"CAT, XAT, GMAT, NMAT, Others",1:NA|2:NA|5:NA|8:NA|10:NA,bhubaneshwar,2,India,2 Years,732000,Agri \/ Food \/ Rural Business,orissa,1200000
sies college of management studies,post graduate diploma in management,"CAT, XAT, MAT, MH-CET, ATMA",1:NA   | 2:NA   | 4:NA   | 7:99.71   | 11:NA   | ,navi mumbai,2,India,2 Years,728000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,900000
vivekanand education society's institute of management studies and research,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,728000,"Finance, Marketing, Human Resources, Business Analytics",maharashtra,670000
vivekanand education society's institute of management studies and research,master in management studies,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA   | 2:NA   | 3:NA   | 4:NA   | 5:NA   | 7:NA   | 11:NA   | ,coimbatore,2,India,2 Years,728000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",tamil nadu,446000
faculty of management studies banaras hindu university,master of business administration,CAT,1:79.31   | ,varanasi,2,India,2 Years,720000,"Finance, Marketing, Human Resources, General Management",uttar pradesh,99000
centre for management studies nalsar university of law,master of business administration,"CAT, GMAT, GRE, XAT, CMAT",1:NA|5:NA|6:NA|2:NA|3:NA,hyderabad,2,India,2 Years,720000,General Management,Telangana,600000
