,College Name,GPA,Verbal,Quants,Writing,Cluster
208,MIT (DUSP),3.8,166,160,5,2
209,MIT DUSP,3.72,164,166,6,3
210,"MPSTME, NMIMS University",3.26,155,164,3.5,0
211,Maastricht University,3.73,159,158,4.5,1
212,Marquette University,3.675692308,158.0769231,155.3589744,4.576923077,1
213,Marshall University,3.649166667,148.9166667,148,4,4
214,Maryland University,3.91,157,151,4.5,1
215,Marymount University,3.503333333,159.3333333,152,5,1
216,Marywood University,3.88,148.5,152,4.25,4
217,Massachusetts Institute Of Technology (MIT),3.732,164.5,164,4.25,3
218,McGill Unviversity,3.692904762,157.3095238,163.4047619,4.130952381,3
219,McMaster University,3.65,163.6,159.8,4.1,3
220,Memorial University Of Newfoundland (MUN),3.453333333,156,158,4.166666667,1
221,Memphis University,3.5,169,155,5,2
222,Mercer University,3.315,155,149,3.5,4
223,Mercyhurst University,3.6,163,168,5,3
224,Miami University,3.717272727,155.5454545,152.2727273,4.409090909,1
225,"Miami University, Ohio",3.753333333,159.2916667,154.2083333,4.5,1
226,Michigan State University,3.525,158,157,4.25,1
227,Michigan State University (MSU),3.630740741,157.7407407,155.3148148,4.166666667,1
228,Michigan Tech University,3.7,151,162,3,0
229,Michigan Technological University (MTU),3.397555556,152.4444444,162.2222222,3.472222222,0
230,Middle East Technical University,3.11,156.5,158.5,4.75,1
231,Middle Tennessee State University,3.7025,156.5,152.75,4.5,1
232,Midwestern University,3.641071429,152.5357143,150.5714286,4.392857143,4
233,"Minnesota State University, Mankato",3,158,160,4.5,3
234,"Minnesota State University, Moorhead",3.75,168,149,5.5,2
235,Minot State University,3.74,157.25,149.5,4.625,1
236,Misericordia University,3.84,154,155,4.5,1
237,Mississippi State University,3.57,151.5,155,4,1
238,"Missouri S&T,ULL",3.5,146,159,3.5,0
239,Missouri State University,3.551,153.5,151.4,4.2,4
240,Missouri University,3.47,148,157,4.5,0
241,Missouri University Of Science And Technology,3.526666667,150.3333333,165.6666667,3.166666667,0
242,Monash University,3.6,162,166,3.5,3
243,Monmouth University,3.8925,150.5,151,4.25,4
244,Montana State University,3.3,159,160,4.5,3
245,Montclair State University,3.7036,155.32,153.04,4.52,1
246,Montevallo University,3.813333333,151.6666667,149.6666667,4.166666667,4
247,Murray State University,3.463333333,150,147.6666667,4,4
248,NOVA Southeastern University,3.49,156,153.6666667,4,1
249,NYU CSUP,3.82,147,168,3,0
250,National University Of Singapore (NUS),3.94,148,162,4,0
251,New Mexico State University,3.572105263,154.0526316,153.0526316,4.078947368,1
252,New York University (NYU),3.626165049,160.368932,157.4223301,4.433495146,1
253,North Carolina Central University,3.562,149.1333333,149,4.1,4
254,North Carolina State University (NCSU),3.47,159,162.5,4.5,3
255,North Caroline State University (NCSU),3.5204,157.472,162.696,3.916,3
256,North Dakota State University,3.11,150,162,4,0
257,Northeastern State University,4,160,148,3.5,1
258,Northeastern University,3.527070175,155.9649123,157.622807,3.938596491,1
259,Northern Arizona University,3.74,156.3666667,151.7666667,4.333333333,1
260,Northern Illinois University,3.538377358,158.754717,155.8113208,4.490566038,1
261,Northern Kentucky University,3.88,146,157,3,0
262,"Northwester University, University Of Wisconsin-Milwaukee, UW-Whitewater, UW-Stevens Point",3.7,155,154,4.5,1
263,Northwestern State University,4,160,155,5,1
264,Northwestern University,3.521,162.5,156.6,4.75,2
265,Nothwestern University,3.675685039,159.1889764,157.7165354,4.383464567,1
266,Oakland University,3.216666667,155.6666667,156.3333333,4.5,1
267,Ohio State Univ,3.67,149,165,3,0
268,Ohio State University (OSU),3.593709677,157.5483871,159.5,4.129032258,3
269,"Ohio State University, Columbus (OSU)",3.647703704,158.5555556,157.7037037,4.425925926,1
270,Ohio State University/Fisher School Of Business,3.3,160,144,4.5,4
271,"Ohio University, Athens",3.731666667,157.1666667,154.6,4.333333333,1
272,Oklahoma State University,3.64,153.0833333,155.6666667,3.75,1
273,Oklahoma University,3.7,153,163,4,0
274,Old Dominion University,3.766666667,153.1666667,150,4.416666667,4
275,Oregon Health And Science University,3.1,161,153,4,2
276,Oregon State University,3.577307692,156.7307692,161.5,4.096153846,3
277,Our Lady Of The Lake University,3.686666667,151.6666667,150.3333333,4.25,4
278,Pacific University,3.570714286,158.5714286,152.2857143,4.285714286,1
279,Penn State University School Of International Affairs,3.8,142,144,4,4
280,Pennsylvania State University (Penn State),3.653147059,157.5882353,159.3235294,4.183823529,3
281,Pennsylvania State University (PennState),3.76875,159.25,161.75,4.4375,3
282,Pepperdine University,3.4,164,150,4,2
283,Philadelphia University,3.36,160.5,154.5,4.25,1
284,Plymouth State University,3.46,155,155.6666667,4.5,1
285,Politecnico Di Milano,3.9,168,160,5,2
286,Portland State University,3.613278689,159.4262295,152.9344262,4.37704918,1
287,Pratt Institute,3.7,155,163,4.5,0
288,Princeton University,3.696666667,164.2916667,163.7916667,4.875,3
289,Purdue University,3.687190476,157.3015873,161.6507937,4.075396825,3
290,Queen Mary University Of London,3.4,149,150,3.5,4
291,Queens University,3.898571429,164.2857143,161.7142857,5,3
292,Radford University,3.644146341,153.3170732,151.0487805,4.341463415,4
293,Redland University,3.6,155,151,3.5,1
294,Rice University,3.608583333,159.375,162.9166667,4.104166667,3
295,"Robotics Institute, Carnegie Mellon University",3.96,157,169,3,3
296,Rockhurst University,3.62375,151.875,147,4.1875,4
297,Roosevelt University,3.9,159,152,4.4,1
298,Rosalind Franklin University,3.2,146,158,3,0
299,Rush University,3.687692308,158.4871795,153.6153846,4.487179487,1
300,Rutgers University,3.516885246,158.7704918,159.4918033,4.081967213,3
301,Ryerson University,3.633333333,157.6666667,152.6666667,4.5,1
302,SRM University,3.9,150,162,3.5,0
303,SUNY Albany,3.308333333,155.8333333,159.6666667,4.083333333,1
304,SUNY Binghamton,3.5875,148.75,157.75,3.625,0
305,SUNY Buffalo,3.541136364,153.1363636,158.0909091,3.784090909,1
306,SUNY Oswego,3.03,144,161,2.5,0
307,SUNY Stony Brook,3.519047619,157.1428571,163.3333333,3.642857143,3
308,Sacramento State University,3.04,157.6666667,151.3333333,4.5,1
309,Sacred Heart University,3.624,154,153.4,4.5,1
310,Saint Louis University,3.71,155.0909091,154.0454545,4.522727273,1
311,Saint Xavier University,3.7725,152.625,153.5,4.5,1
312,Salem State University,3.7,153,153,4.5,1
313,Salus University,3.38,157,150,4.25,1
314,Sam Houston State University,3.21,152.5,154.5,3.75,1
315,San Diego State University (SDSU),3.5755,157.4833333,156,4.45,1
